plate,kanton,number,price,auction_end,href,runtime
ZH 932,ZH,932,19200,2020-08-19 19:00:00,https://www.auktion.stva.zh.ch/auction/car/25299,2020-08-19 12:53:34.480996
ZH 5427,ZH,5427,7000,2020-08-19 19:00:00,https://www.auktion.stva.zh.ch/auction/car/12257,2020-08-19 12:53:34.480996
ZH 13203,ZH,13203,2500,2020-08-19 19:00:00,https://www.auktion.stva.zh.ch/auction/car/25828,2020-08-19 12:53:34.480996
ZH 21401,ZH,21401,1500,2020-08-19 19:00:00,https://www.auktion.stva.zh.ch/auction/car/28269,2020-08-19 12:53:34.480996
ZH 36302,ZH,36302,1350,2020-08-19 19:00:00,https://www.auktion.stva.zh.ch/auction/car/14236,2020-08-19 12:53:34.480996
ZH 38197,ZH,38197,1320,2020-08-19 19:00:00,https://www.auktion.stva.zh.ch/auction/car/14514,2020-08-19 12:53:34.480996
ZH 42944,ZH,42944,1500,2020-08-19 19:00:00,https://www.auktion.stva.zh.ch/auction/car/25097,2020-08-19 12:53:34.480996
ZH 45265,ZH,45265,1350,2020-08-19 19:00:00,https://www.auktion.stva.zh.ch/auction/car/25652,2020-08-19 12:53:34.480996
ZH 52034,ZH,52034,1300,2020-08-19 19:00:00,https://www.auktion.stva.zh.ch/auction/car/16110,2020-08-19 12:53:34.480996
ZH 57151,ZH,57151,1400,2020-08-19 19:00:00,https://www.auktion.stva.zh.ch/auction/car/28819,2020-08-19 12:53:34.480996
ZH 57655,ZH,57655,1340,2020-08-19 19:00:00,https://www.auktion.stva.zh.ch/auction/car/16795,2020-08-19 12:53:34.480996
ZH 59722,ZH,59722,1120,2020-08-19 19:00:00,https://www.auktion.stva.zh.ch/auction/car/17046,2020-08-19 12:53:34.480996
ZH 60135,ZH,60135,1300,2020-08-19 19:00:00,https://www.auktion.stva.zh.ch/auction/car/17081,2020-08-19 12:53:34.480996
ZH 60140,ZH,60140,1520,2020-08-19 19:00:00,https://www.auktion.stva.zh.ch/auction/car/27166,2020-08-19 12:53:34.480996
ZH 62175,ZH,62175,1020,2020-08-19 19:00:00,https://www.auktion.stva.zh.ch/auction/car/17314,2020-08-19 12:53:34.480996
ZH 68499,ZH,68499,1220,2020-08-19 19:00:00,https://www.auktion.stva.zh.ch/auction/car/18065,2020-08-19 12:53:34.480996
ZH 71800,ZH,71800,1600,2020-08-19 19:00:00,https://www.auktion.stva.zh.ch/auction/car/27187,2020-08-19 12:53:34.480996
ZH 74889,ZH,74889,1000,2020-08-19 19:00:00,https://www.auktion.stva.zh.ch/auction/car/18789,2020-08-19 12:53:34.480996
ZH 78847,ZH,78847,1020,2020-08-19 19:00:00,https://www.auktion.stva.zh.ch/auction/car/19210,2020-08-19 12:53:34.480996
ZH 79343,ZH,79343,940,2020-08-19 19:00:00,https://www.auktion.stva.zh.ch/auction/car/19263,2020-08-19 12:53:34.480996
ZH 82093,ZH,82093,940,2020-08-19 19:00:00,https://www.auktion.stva.zh.ch/auction/car/19544,2020-08-19 12:53:34.480996
ZH 83495,ZH,83495,960,2020-08-19 19:00:00,https://www.auktion.stva.zh.ch/auction/car/19724,2020-08-19 12:53:34.480996
ZH 84119,ZH,84119,1080,2020-08-19 19:00:00,https://www.auktion.stva.zh.ch/auction/car/26513,2020-08-19 12:53:34.480996
ZH 88172,ZH,88172,1200,2020-08-19 19:00:00,https://www.auktion.stva.zh.ch/auction/car/20319,2020-08-19 12:53:34.480996
ZH 91970,ZH,91970,1000,2020-08-19 19:00:00,https://www.auktion.stva.zh.ch/auction/car/29320,2020-08-19 12:53:34.480996
ZH 94117,ZH,94117,960,2020-08-19 19:00:00,https://www.auktion.stva.zh.ch/auction/car/27554,2020-08-19 12:53:34.480996
ZH 96323,ZH,96323,1000,2020-08-19 19:00:00,https://www.auktion.stva.zh.ch/auction/car/25432,2020-08-19 12:53:34.480996
ZH 97015,ZH,97015,1000,2020-08-19 19:00:00,https://www.auktion.stva.zh.ch/auction/car/26362,2020-08-19 12:53:34.480996
ZH 553000,ZH,553000,820,2020-08-19 19:00:00,https://www.auktion.stva.zh.ch/auction/car/22065,2020-08-19 12:53:34.480996
ZH 763367,ZH,763367,630,2020-08-19 19:00:00,https://www.auktion.stva.zh.ch/auction/car/22163,2020-08-19 12:53:34.480996
ZH 932,ZH,932,19200,2020-08-19 19:00:00,https://www.auktion.stva.zh.ch/auction/car/25299,2020-08-19 12:44:14.993997
